model_name,train_acc,val_acc,test_acc,train_recall,val_recall,test_recall,train_precision,val_precision,test_precision,train_f1,val_f1,test_f1,execution_time
Decision Tree Default,1.0,0.9353,0.9314,1.0,0.7908,0.8129,1.0,0.8031,0.7726,1.0,0.7969,0.7922,
Decision Tree Tuned GridSearchCV,0.973,0.9037,0.8939,0.8955,0.6769,0.6687,0.9338,0.7097,0.6708,0.9142,0.6929,0.6697,7.635
Decision Tree Tuned RandomSearchCV,0.9538,0.9101,0.9215,0.8484,0.7323,0.7669,0.8616,0.7147,0.7508,0.8549,0.7234,0.7587,0.3607
Random Forest Default,1.0,0.9457,0.9561,1.0,0.7354,0.7822,1.0,0.9087,0.9341,1.0,0.8129,0.8514,
Random Forest Tuned GridSearchCV,0.9822,0.9348,0.9462,0.9078,0.7385,0.7883,0.9801,0.8362,0.8653,0.9426,0.7843,0.825,1200.8105
Random Forest Tuned RandomSearchCV,0.9473,0.9141,0.9255,0.7766,0.6646,0.6994,0.8814,0.7687,0.8114,0.8257,0.7129,0.7512,4.5051
Bagging Classifier Default,0.9956,0.9501,0.9576,0.9744,0.8062,0.8344,0.9979,0.8733,0.8947,0.986,0.8384,0.8635,
Bagging Classifier Tuned GridSearchCV,0.9997,0.9407,0.9477,0.998,0.7508,0.7699,1.0,0.8622,0.8901,0.999,0.8026,0.8257,40.8075
Bagging Classifier Tuned RandomSearchCV,0.9987,0.9437,0.9521,0.9918,0.7692,0.8006,1.0,0.8651,0.8908,0.9959,0.8143,0.8433,14.361
AdaBoost Classifier Default,0.963,0.9516,0.9595,0.8617,0.8185,0.8344,0.9033,0.8721,0.9067,0.882,0.8444,0.869,
Logistic Regression Default,0.8853,0.88,0.8899,0.4836,0.4338,0.5153,0.7098,0.705,0.721,0.5753,0.5371,0.6011,
Logistic Regression Tuned GridSearchCV,0.8963,0.8825,0.8949,0.3801,0.3077,0.3804,0.9369,0.885,0.9185,0.5408,0.4566,0.538,3.6801
Logistic Regression Tuned RandomizedSearchCV,0.9115,0.9057,0.9131,0.6301,0.5846,0.6196,0.7765,0.7724,0.7953,0.6957,0.6655,0.6966,1.0037
Logistic Regression Oversampling SMOTE,0.8191,0.8138,0.8307,0.8002,0.7815,0.7975,0.4635,0.4536,0.4842,0.587,0.574,0.6025,1.0037
Logistic Regression Downsampled,0.8914,0.8815,0.8919,0.5184,0.4677,0.5245,0.727,0.6941,0.7277,0.6053,0.5588,0.6096,1.0037
AdaBoost Classifier Tuned GridSearchCV,0.9837,0.9309,0.9344,0.9447,0.7446,0.7761,0.9535,0.8094,0.8083,0.949,0.7756,0.7919,546.3219
AdaBoost Classifier Tuned RandomSearchCV,0.9998,0.9086,0.9225,0.999,0.6708,0.7638,1.0,0.7365,0.7568,0.9995,0.7021,0.7603,13.1308
Gradient Boost Classifier,0.9789,0.957,0.9679,0.9057,0.8123,0.8405,0.9609,0.9103,0.9547,0.9325,0.8585,0.894,
Gradient Boost Classifier Tuned GridSearchCV,1.0,0.9501,0.9506,1.0,0.7908,0.8098,1.0,0.8862,0.8742,1.0,0.8358,0.8408,74.9117
Gradient Boost Classifier Tuned RandomSearchCV,1.0,0.9575,0.9561,1.0,0.8154,0.819,1.0,0.9107,0.899,1.0,0.8604,0.8571,17.7953
XGBoost Model Default,1.0,0.9659,0.9743,1.0,0.8492,0.8957,1.0,0.9324,0.9419,1.0,0.8889,0.9182,
XGBoost Classifier Tuned GridSearchCV,0.9858,0.9595,0.9679,0.999,0.9015,0.9509,0.9198,0.8542,0.8635,0.9578,0.8772,0.9051,841.8245
XGBoost Classifier Tuned RandomSearchCV,0.9835,0.96,0.9679,0.9273,0.8185,0.8436,0.969,0.9236,0.9516,0.9476,0.8679,0.8943,3.4682
